clean_text,labels,dialect_id
موحجاها القائد كاللهم تنذلون,0,3
هذي قمامة اليمن .,0,13
الصراحه مكنعرفكش ولكن شرفتي بالمراة المغربية المسلمة ،الله يوفقك اختي,1,7
مصنع قذارة وزباله,0,4
شكونهيليمتحضرشواشعندهاحصانةهاديغيميكروبوتستحمرالمغفلين.,0,7
رااائع تركي مذهل عرفته من تيك توك وادمنته,1,9
ان شاء الله يخلي السياحه ف اعلي مستوي,1,1
مافي نسويه مسلمه ابدا النسويه والاسلام شيئان متضادان,0,9
يا ربي يفظلكم وينوركم وانت واختك محلاكم اما امي وردة طيحت عليكم الزين والعين ما شاء الله,1,12
روعةوتحفةفنية جميلة,1,13
الله يهديج وتتحجبين الحجاب عليج حلو,1,3
اجبن شعب شفته بحياتي اظاهر عنده نيه ينام عله گلوب الشعب العراقي,0,3
سبب خراب المغرب هوما هاد القحاب ام شنطات,0,7
برافو نارين توقفي مع الحق ❤️,1,11
روح انضب انت يا ابو كلسون نسي يقول في لبنان اعلاما بهائميا مثل المرة السابقة- لا حظ كيف يكتبون محور خميني للكبتاجون والارهاب,0,5
ياخي مثل هذا بالنعل ينعدم,0,3
والله نته شريف,1,3
دا ما كلام بروف دا كلام زول حاقد وحاسد وما عايز الخير للبلد,0,10
ونحن بنحبكم اكتر واكتر لانكم صادقين بمحبتكم للبنان,1,5
كلوا صرامي لانه مااارح ندفع انفلقوا وتعالوا خدو الساعات شو بدنا نشتغل رقاصات مثلا لندفع,0,11
هاد الوزير متقف وعندو مايقول,1,7
منقدروش نمدو راينا لوحدة تافهة روحي تخراي,0,0
بلاد المسيح هوية المسيح سلاما لمدينته اورشليم التي بكي عليها قال لها: لو علمت ما لسلامك . كل يدعي له .,1,8
متنساش تجيب الدينار تاعكم باش تمسح بيه قاعكم حيث راه ارخص من ورق المرحاض,0,0
ياريت يوصل صوتنا للحكومة ويصير في عقوبة مشددة لاي شخص بيصور مقطع مسيء للسورين ان كانو شباب او بنات وخصوصي تصوير البنات عقوبة دبل,1,11
الله يقلعها عروبه اذا هذا عربي,0,2
هو انت فين يا فنان,1,1
مقابله سخيفه وتافهه بامتياز من الطرفين,0,9
ولا عمرها عينك بتنملي رح تضلك جوعان يخسارة بس!,0,1
سبعك بكره ورق تواليت وبمسحوا فيك وبرموك اخس,0,4
احسان بنعلوش فخر الشباب المغربي انا احبها في الله ، جميلة قلبا وقالبا تحب الخير للجميع وهي محبوبة فالله يحفظها وينور طريقها كنفتخروا بيها حنا المغاربة كاملين,1,7
ديه بتستعبط بجد ابوه بياخد ايه معاه الشغل,0,1
الامن قايم بالواجب لكن وعي المواطن هو الكل كيف تسكر عليه و تمنعوا من انوا يستقر في ضيعتك و تعلم عليه راك تساهم في ترحيلهم,0,12
كل نقطة يوقف بيها شرطي مرور لازم يكون فيها مخابرات او شرطة سرية مو معقول شارع مثل الشعلان مافي حدا للتدخل السريع لهي الاشكال او ضد خلايا نائمة ممكن تعمل اي عمل ضد المدنيين,1,11
