text,dialect_label,region_label,sentiment_label
اكيد العمل الدراسه كان سكران.,5,0,0.0
يلا في ستين داهيه بلا راجعه,2,3,0.0
احلي فيديو نستناه من وردة لابسة جيلية متاع ميما، الله يرحمها ، ريحتها فيها ووجهها عليك ملوخية من قلب الحدث، احساس وحنين ووفاء ما يتشراوش. ربي يفضلك ويحفظ ذكرياتك دايما عامرة بالخير.,16,1,1.0
كل التعليقات بتضحك والموضوع مش مضحك ابدا هذا اسمه اذي لمخلوقات الله اتركو بحالو ليش داعس بالسيارة عليه .الرحمون يرحمهم الله .ارحم من في الارض يرحمكم من في السماء .,5,0,1.0
هادا مسكين بدون شخصية وشوه المغرب لهجة ديالو مايفهما حتي حد كلاخ محتوي سعيان,9,1,0.0
نبي ملكه جاده للزواج اني جاد و منبيش فترة تعارف خطوبه طول,8,1,1.0
المحترم المتربي ابن الناس,2,3,1.0
مسموح للفلسطينيات يحكوا عن الاراضي الي اتاخذت منهم بالقوة، يلعن ابوكي علي هيك خلفه ومنطق اعوج,7,0,0.0
الكذب المرتب افضل من الصدق المخربط,4,0,0.0
جزايريين دمنا حار تحية لڨاع ليزالجروا بلا ماننساو اخوانا الفلسطينيين نحبوكم بلادنا الدو زيام فلسطين,0,1,1.0
اصدق خور الكل اخليهان يسايخين,17,3,0.0
هاذو هوما النسا تاع الصح,0,1,1.0
كمشة حشرات يستاهلوا الاعدام يلزم الشعب يستاصلهم.,16,1,0.0
كشك الليبييه مالها حل,8,1,1.0
التعاون بين القوي السياسية هو المفتاح لانقاذ لبنان، الف شكر لجهودكم بامل جديد لكل اللبنانيين,7,0,1.0
المهم من بلاد الشام كلن بلد واحد❤️,15,0,1.0
روح انضب انت يا ابو كلسون نسي يقول في لبنان اعلاما بهائميا مثل المرة السابقة- لا حظ كيف يكتبون محور خميني للكبتاجون والارهاب,7,0,0.0
كمية القبول اللي فيه ما شاء الله عليه ❤️,13,2,1.0
تفضل انا بعزمك احلي كاست مته بتنور شواربك,15,0,1.0
الجنة لمن يطلبها والنار لمن يطلبها فهنيئا للراغبين والطالبين,11,0,1.0
كلام رائع وصحيح نايع من القلب,7,0,1.0
يمه يممه صدقه ال ياييي مالتج حلوة,4,0,1.0
فعلا واحد غادي يتحاسب علي زوجة والاخر غادي يتحاسب علي زوج او اكثر ويا سلام الي تبعث عند الله نص واقف ونص مجرور من ظلمه لاحدي زوجاته وكفي بالمراة اثما ان يضيع من يعول منين تجيب بنات الناس وتجوعهم هذي رجولة,16,1,1.0
كابتن ايلا عندما انظر الي وجهك يحدث ارتخاء في القضيب,7,0,0.0
لها الرحمه والمغفره,14,3,1.0
مستحيل شكد انسان هادئ ومحترم احتاج مثل انس بحياتي,4,0,1.0
زابكبيروطويل احبك موت مجنون اني بيج حبيبتي,3,2,0.0
يا عمري انتي واش انقول اعليك قليل,0,1,1.0
واش فخبارك تاتقلل من بلادك بلا ماتحس فاش تايجي براني و تتبغي تهضر بلهجتو من الغربيين و ليتو حتي مع العربي,9,1,0.0
همج قداش نكرهم هلكوها البلاد كان هوما,16,1,0.0
غات العوينات تهالة ايسين البركت في جنوب ليبيا عالم تاني غني يتحق الزيارة تراث غني وطبيعه صحراويه ساحرة.,8,1,1.0
"باش تيعجبني شي اخوة معددون تتلقاه عندو فراشة عل قد الحال او يبريكولي ""طالب معاشوا"" وتتلقاه مزوج بزوجتين ساكنين في برطمة واحدة وتتلقاه عايش السعادة والبركة ، وتتلقي زوجاته بحال لخواتات وحتي الابناء ديالو ما تفرقش بين ولاد هادي مع ولاد الاخري. في الزاوية الاخري تتلقي صاحب الزوجة الواحدة تاجر كبير وعندو البيوت مسدودين ساكن فيهم الجن الحازق ، وما يقدرش يتزوج بالزوجة الثانية رغم انه موفر ليه الامكانيات المادية واللوجستية ولكن تتلقاه مخصي غالبة عليه العقروشة ""مولات الدار"" لذالك المسالة التعدد ليست مادية كيما يدعون الاخوة المطبنون ، بل المسالة في الرجل خاصو يكون صاحب شخصية قوية ""حاكم الكروة ولازون""",16,1,0.0
حفظك الله بحفظه نحنا خلفك وكلنا معك,11,0,1.0
خاطري فوحده زيها تهزبني توا,8,1,0.0
احنا علي خطي الشهيد كلنا شهيد نحن جند اللهجند الوطن,14,3,1.0
والله اقرب شعب لقلوبنا الكويتين ، نحس ان احنا وهم واحد ، والدوله الوحيده الي احس مستحيل في يوم من الايام تضر السعوديه واهلها ♥️♥️♥️,13,2,1.0
نجاح السعوديات فخر لنا كلنا,13,2,1.0
صاحبه البيج ممكن اخذج جارية او خدامة لمرتي المستقبليه! ؟,4,0,0.0
اااح اااح ياقلبي ياررريت وانا معك الان ردي عليا خاص,17,3,0.0
اذا كانت الحكومة المقبلة علي شاكلة ما تداوله الاعلام يعني الرئيس المكلف جايب اصحابه يتسلوا. الافضل اقرار قانون استثنائي بيشبه لبنان باعطاء صلاحيات استثنائية لحكومك حسان دياب الي حين قيام انتخابات نيابية. الحل عند مجلس النواب,7,0,0.0
افتخر انني مغربية وديما مغرب الله يحفض بلدي الحبيب واولاد وبنات بلدي وملكي يارب ❤️❤️ ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,9,1,1.0
سلم الله الدلنج وكادوقلي سلم الله كردفان ودارفور سلم الله السودان,14,3,1.0
امحق وجه,6,2,0.0
كذاب يا حقير,13,2,0.0
ولله زنوب اخذي نصيحتي ضلي بحريتج ولقرئن احسلج,4,0,1.0
الله يحمي جيشنا العربي واردنا الغالي,5,0,1.0
روح دير عدالة منصفة مكانش عدالة تمد حق في لبلاد هذي .حنا بالعقود ملكية ومادينا والو,0,1,0.0
لعنة الله عليكم عاد المؤسسه اغلي من دماء من سقطوا اليوم,17,3,0.0
تجيبي 90 عديل ختي هدف قدامك واقري كتيير وحلي امتحانات كتيير البغلبك احضري ليه حصص نمر ون وفي مذكرات كدا pdf سمحه شديد نزليهم كلو بتلقي ف التلجرام نحنا علينا السعي والباقي علي الله,14,3,1.0
الزول ده بعمل في فندك كبير مشھورين بيھو الفلاتة,14,3,1.0
الله يعزك ❤ ياربراك انت لي عزيزشحال زوينة هديك شعبي العزيز,9,1,1.0
امال جميع اللبنانيين علي فخامة الرئيس و حضرتك نتمني ان لا تعود عقارب الساعة الي الوراء ونحن ندرك انك قد المسؤولية رجاء لا نريد اي شخص في الحكومة الجديدة من الطبقة الفاسدة وخصوصا من الذين تعاقبو علي الوزارات من المالية الي الطاقة الي الاتصالات العدل الاشغال,7,0,1.0
اقلام سكس,0,1,0.0
نبي نسمع الايمان حقهم بصوت ليش تخلو موسيقه خلو الشعب يعرف من الخائن,17,3,0.0
علاشتكذبي اي حكومه تبي سيف كذب,8,1,0.0
هذة المراة الصالحة بحق الله يفرجها عليكم يارب,11,0,1.0
هذه المراه اشرف من كل رجال الارض,11,0,1.0
حتي في حلف اليمين كان عندك كرزمه وشخصيه وحلفت وصدقت وحفظت علي الوطن وسلامة مياه نيله واراضيه رحم الله الزعيم مبارك,2,3,1.0
الترحيل نعم اما الادماج لا والف لا. هوما يجيبوا في العلماء والمخترعين واحنا يحبوا يلصقوا لنا المعفط وخوه.,16,1,0.0
الصهيوني اشرف منكم يا طرش البحر وبقايا الحجاج,3,2,0.0
انشاء الله ربي يعطيك ويعطي كل محروم كتر الدعاء وقيام الليل وفكك من وسوسة الشيطان فا الدرية هبة من الله ولازم تعرف انها من عند الله وربي يعطيك لانك مسلم موحد وربي رحمته كبيرة اعطي الملحد والمجوسي والمسيحي واليهودي فا يعطي المسلم الموحد غير وقتك قاعد ماجاش اصبر رزقك ايجيك لعندك ودرية صالحة وانتهي,8,1,1.0
انتي شو دخلك يا حيه خليها تنضف حره هي يا مكيوده خليكي محضر خير,11,0,0.0
هذا كنز لانه ماهو حجر انما خليط مواد مثل الاسمنت يسموه قضاض او يختلف الاسم من منطقه ل اخري,17,3,1.0
علي راي عادل امام للكلاب حظوظ,7,0,0.0
المشكلة انه اهل بلدنا يلي عم يحكوا يا عيب الشوم . لازم يطلع قرار بمنع تصوير و نشر و فضايح اي شي بسيئ لاهل البلد و يكون في عقوبة يلي بصور و بينشر,15,0,1.0
جمالها في رقيها وشخصيتها وهيبتها,8,1,1.0
فوك الضيم يريدون يرجعوه,4,0,1.0
ياحي هالشوووف,13,2,1.0
اللهم بارك كلام عميق,8,1,1.0
الله يحميكم ويبارك فيهم انتو ذخر الوطن,15,0,1.0
جزاكم الله خيرا اللورد تايقر البرهان حفظك الرحمن ❤❤❤منتصرين ❤,14,3,1.0
كلب السفارات,14,3,0.0
لا ناعقين لا زمامر. شوارع تونس مليانة بيهم و انت تحكي علي الترحيل . رحلوا كعبتين من الاف مؤلفة,16,1,0.0
الله يعطيكوا العافية،يعني اذا ظليتوا ع هالمنوال السنة الجاية بتحرروا الاقصي باذن الله,5,0,1.0
الله يسعد السعوديات,13,2,1.0
الجزائر من هدا مجابتش واحد كيفه هدا حبة نادرة في جميع دول العرب,0,1,0.0
حييي المراة السعودية قدوة الامم,13,2,1.0
بحسابات البشر محدش كان متخيل ابدا ان سوريا حالها يتغير بس ربنا اراد يفرجها عليكم عقبال غزة وكل الشعوب المقهورة,15,0,1.0
