text,true_label,pred_label,region,confidence,correct
حبيت ندير مصنع صغير لقطع الغيار هنا في باتنة شربولي لمرار ويقلك الصناعة مريضة في الجزائر.,Negative,Positive,maghrebi,0.6645,False
عنجد انتو شعب مابيعجبكم العجب يعني بسنه بدكم دوله مدمره تتعمر .الله يعين هالرئيس حرب ولاشعب ماعاجبو العجب اي خلو يتنفس شوي وبعدين حكو,Positive,Negative,levantine,0.9242,False
باقي مزالو برشة متوزعين بالعاصمة,Negative,Positive,maghrebi,0.8272,False
شوية همل وهبلان ودونا ورا الشمس,Positive,Negative,levantine,0.9673,False
جماعة الايجارات اللي عنده دار زينقو ابلكيره مزرعهه والا اي خربه يمشي ايجيبهم ايسكنهم قداه وجماعه فعل الخير والصدقات تو ايوكلوهم ولا للتوطين ياليبيا,Negative,Positive,maghrebi,0.5929,False
لك تقبرن بنات سوريا ياشهمم❤️,Positive,Negative,levantine,0.9562,False
لك الله يشفي هيك حكومة,Positive,Negative,levantine,0.9538,False
اي بنت تتعرض لابتزاز تكلم اسرتها اول شي,Positive,Negative,nile_basin,0.7694,False
مو مانع حمل مانع صواعق يرادلها بيها بلة جنان,Negative,Positive,levantine,0.5908,False
هاي شمسوية بي مسودنتة مايعرف شيكول,Positive,Negative,levantine,0.946,False
الشعب يستحق هذه المظبطه .,Negative,Positive,levantine,0.7671,False
المشكلة التعميم اكبر مشكلة عم نواجها بيطلع واحد من اي بلد او محافظة اوطائفة الي الخمثلا مو منيح بيشملو الكل للاسف,Positive,Negative,levantine,0.6178,False
بري سحيقا ليك وليها,Negative,Positive,maghrebi,0.6069,False
ليش هيج تتصرف وياها هاي خلقه ربنا,Positive,Negative,levantine,0.9532,False
سؤال حضرة السيدة الاولي؟ كيف ارتضي فخامة الرئيس العماد جوزف عون بان يكون التيار الوطني الحر خارج الحكومة وهو يعلم انه لولا فخامة الرئيس العماد ميشال عون لما كان قائدا للجيش ولا حتي رئيسا للجمهورية؟ هل من يحكم هو رئيس الحكومة نواف سلام؟,Negative,Positive,levantine,0.8345,False
الله لا يسامحه الي جاب الكوتا علي المجلس.,Positive,Negative,levantine,0.949,False
لالا قصدچ ممثل هوه يحچي شي ويسوي شي لاخطيييه,Negative,Positive,levantine,0.5318,False
كيفاش اقنعتوها و كان وريدة تفهم معني الغناية,Positive,Negative,maghrebi,0.9087,False
ياريت تتكلم عدل نفس كلام البحرينين الاصليين لان احنا مانتكلم جذي ، هاذي كلام البياسر وشكرا,Negative,Positive,gulf,0.8549,False
البيت الذي لا يوجد به امراءة لا يساوي قرشين,Positive,Negative,levantine,0.8763,False
الزول ده بعمل في شنو؟ مديدة بلح باللقيمات .,Positive,Negative,nile_basin,0.612,False
التعليقات كتير مؤذيه حرام جد مش عاجبتكم ليش التجريح !,Positive,Negative,levantine,0.9444,False
هذه اشرف من عملاءالناتو وارجل منهم,Positive,Negative,maghrebi,0.9487,False
واضح ياروحي انت من صعوبة الطلعة ع الدرج يؤبرو لقلبي السترونغ والبيبي,Positive,Negative,levantine,0.5285,False
صحيح اما نبسط فيها للي كتب الكلمات ضاهر ما فهمهاش و ما عرفش الكلمة العربية اصلا ، هذاكة علاش كتبتهالو هوا عامللها copier coller من فيديو اخري كاتبين البارول غالط نفس الاخطاء بالظبط,Positive,Negative,maghrebi,0.5682,False
نشتي نسمع احمد الصالح هل اقسم علي الحفاظ علي الوطن ووحدته او قام يتحارف سع عمه عيدروس,Negative,Positive,nile_basin,0.7507,False
مازوت بانزين غاز كيروسين خبز كهرباء اتصالات فوسفات بذار مواصلات مواد غذائية فواكه خضار كلها طلعت باسعار جنونية من وقت استلامك لسلطة في ظل انعدام الاجر و الراتب، الي متي ستستمر في هذه السياسات الحكومية الخاطئة,Positive,Negative,levantine,0.8647,False
والله اني استحي لما اعرف انها يمنيه من بلادي الاصيله والله اليمن ماتتشرف ببنت مثلها الله يهديها ولا يواخذنا بما فعل السفهاء منا,Negative,Positive,nile_basin,0.8592,False
طبك طوب لطلطه تزوجت الثانيه ديلا خلي تفيدك لعد,Positive,Negative,levantine,0.9581,False
شكله الوجهه اليايه,Positive,Negative,gulf,0.9397,False
وكان بلوفر ولا وحدة من الساقطات راااك قلتي واااو جمالك خارق للعادة ومدحتيها لكن عادي الليبيين هذا طبعكم مستحيل تتخلو عالتنمر والنفاق والمجامله ربي يحفظها بنت الاخ العقيد معمر القذافي هيا وخوتها اللي مازالو علي قيد الحياه وبعدين جمالها مش حاتشوفيه لا انتي ولا اللي المتعاليين في تعليقاتهم,Negative,Positive,maghrebi,0.5457,False
الله يعينك يااحمد الشرع والله العظيم. يعني من وين بدو يظبطها. ليظبطها. من الطوائف ولا من الخراب والدمار ولا الديون ولا الشعب الفقير والمعتر,Positive,Negative,levantine,0.8656,False
جناب متل الطناب,Negative,Positive,levantine,0.5223,False
يااخت توكل انا من رائيي ان انتي تبطلي تكتبي عن اي موضوع سياسي ، سواء محلي او اقليمي لا شان لك به بتاتا ، وابقي في صمت فانه خيرا لكي ‏هذه نصيحتي ! ‏لاني نظرت الي كثير من التعليقات وحللتها والنتيجة سلبية والسبب انه لم يعد لكي قاعدة جمهور ، والاخرين غير متقبلين ل منشوارتك.,Positive,Negative,nile_basin,0.7298,False
حتي حنا خاصنا نتضامنو مع هاد السيدة حتي يوسعو الطبون د مها بالقرعة,Negative,Positive,maghrebi,0.5349,False
خلي خلي ملهجه داري يمني,Positive,Negative,nile_basin,0.9032,False
يا من عولتو زيارة للمقبول و سيدي نايل شيخنا عنو سالو سيدي نا يل فيه تلقي واش تقول و مت سوقو جملة اهل النيا نالو,Positive,Negative,maghrebi,0.6484,False
والله لو انك ظليتي ساكته افظل من الطعن برجال الوطن ومدح من لايستحق المدح,Positive,Negative,levantine,0.9335,False
واكيد اجا فشل الطبقة السياسية اليوم بمعالجة مشكلة حزب الله والقيام بالحد الادني من التغيير رغم كل الجو الدولي المؤاتي والداعم لوجود دولة لبنانية قوية، كختم وتاكيد علي نهاية لبنان الكبير - بالنسبة الي عالاقل.,Negative,Positive,levantine,0.6572,False
كفايه سخريه علشان متخسرش محبينك,Positive,Negative,nile_basin,0.9552,False
لهجتها هي واهلها يمنيه 100٪؜ من وين لوين اماراتيه! والمحتوي لايناسب عادات وتقاليد الامارات ابدا ابدا ابدا.,Negative,Positive,gulf,0.6094,False
استثمار وليس دعم ان شاءلله ما نحتاج لدعم اي حد بعدين يمنون علينا.,Negative,Positive,gulf,0.8801,False
يعجبني الطيز الكبير,Negative,Positive,nile_basin,0.9289,False
حشومة . اصاحبي حتي حد مكيختار كيفاش تزادكنحاسبو الناس علي افعالهم فالواقع اما الصورة باش تخلقو هادي معندهمش تحكم فيها . حتي الدراري كاين لي تزاد قصير بزاف كاين لي تزاد بالامراض كل واحد كيفاش تخلق وحتي حد مكره يتزاد فيه 190 سنتيم وصحيح وزوين وباه لاباس عليه لكن هدشي مكنتحكموش فيه,Positive,Negative,maghrebi,0.5473,False
امنية حياتي ذولاك يهتمون في نفسهم ومالهم شغل متي نصوم ومتي نفطر,Negative,Positive,gulf,0.6665,False
انت اضعف واهون واحقر من انك تشوه بالشهيد القائد مسمار راسك السيد الرئيس صدام حسين المجيد رحمه الله وبالتالي مش حاينفعك ولاحاتستفيد حاجة من منشوراتك القذرة عن الرجل فابحث لك عن شخص اخر تريد ان تشوهه,Positive,Negative,levantine,0.9259,False
سنارية ولا سنفارية نفس الكلمة ولاكن لهحات شمال افريقيا تتعرض القواعد الامازيغية حتي لو كان كلمات العربية في اللغة الامازيغية كاين حروف تتغير وحروف تحذف اما القواعد العربية اثرت علي اللهحة بشكل قليل مثل المؤنث والمدكر مثلا كلمة نقبض بالعربية ولاكن كي ارثت فيها الامازيغي نقول نقضب والورل تعني للخلف نقولو رول ماشي لور . انسان غريب مهدوم بلا اصل نسموه قليط ماشي لقيط كن جينا نتكلمو بقواغد عربية سيفهم للعرب الهحات حتي لو وجودو بعص الكلمات الغير عربية الكلمات ممكن تكون اصلها عربي وفرنسس و ايطالي انجليزي امازيغية تتاني ولاكن اكثر لغة اثرت يقواغدها في لهحتنا هي الامازيغي لانها اقدم واكثر شعب ولغة منتشرة في شمال افريقيا مجرد معلومة قد تنفعك في احد الايام لان هذه الميزة توحد في لغات قليلة عبر العالم ا,Positive,Negative,maghrebi,0.7441,False
انت حتيجي علي نار هادئة ايام قريبه جدا .غيرك اشطر .ده زعماء ورؤساء دول عظمه اعطوا الولاء للرئيس السيسي,Positive,Negative,nile_basin,0.6237,False
شرف تفضل طال عمرك خذلك علي اية عاد الله يرزقك بس اكو فد شي ماعاد عرفنا هيا فاشنسيتا لو مذيعه لو مندوبه تسويق واعلانات لو شنو يا اية اني خايف يجي اليوم نلاقيج ترقصين يا اية,Negative,Positive,levantine,0.529,False
نداء للقياده العامه نطلب من سيادتكم تطبيق حكم الاعدام بحق هذه المراه,Negative,Positive,maghrebi,0.7542,False
والله العظيم نصيح الوجه الله لحد يسجل عن طريق معقب لان يورطون العالم المعقبين مو خوش اوادم الله وكيلكم هنانة الطلاب في تونس تون نصيحة عوفو المعقبين وهية ترة متكلف غير بالزايد 200$ اجراء التسجيل كلهة بلاش,Positive,Negative,maghrebi,0.7358,False
مالهم مفزوعين سلاماات,Positive,Negative,nile_basin,0.963,False
خدمة زينة كي تمرضي تعودي تحوسي علي امراة تفوتي عندها وكي تروحي تحجمي ولاداوي مرض داخلي ولاتاع نساء تحتاجي امراة وكي تروحي تشري ملابسك الداخلية وانت يتيمة ولا مش مزوجة تولي تحوسي علي امراة,Positive,Negative,maghrebi,0.8693,False
الكلام دا هم. زاااتم عارفنو وعملو كل شيء لاجهاض الثورة بس والله الي ينتهو مننا كلنا كثوار بعد داك حلال عليهم,Positive,Negative,nile_basin,0.527,False
اه يا حمش تول بالك لا يتئلك عرئ، لا معلش خليهن ينفضحو وينحكي عليهم ليتربو,Positive,Negative,levantine,0.9522,False
يسخف باينة فيه البراكة,Positive,Negative,maghrebi,0.9686,False
هامات والله ماودك تخلص حلقاتهم,Positive,Negative,gulf,0.814,False
اووف يماا سوده عليه بدون ارادي حجت البداخلها متحملت تريد تفضفض,Positive,Negative,levantine,0.909,False
بعيد السو قاتلك يشبه القائد شن جاب الصقر للبومه,Positive,Negative,maghrebi,0.8918,False
اتقوا الله ومو كل كلمة او حادثة نعمل منها باب للفتنة والشتائم .,Positive,Negative,levantine,0.7716,False
منورة اية لا لا حرامات الحركة متعوب عليها مال فاشنسيتا مو مال اعلامية,Negative,Positive,levantine,0.7841,False
فكرة جميلة منستعلم عن حجم الخازوق قبل دخوله,Positive,Negative,levantine,0.5953,False
عيني بكت والوقت مال عليها.,Positive,Negative,maghrebi,0.8645,False
ماهو راجل وطني وهما ما يحبوش الراجل,Positive,Negative,maghrebi,0.904,False
اولا واخيرا كثر خيرك اصيلة ثانيا والاهم شنو اشوف البارح لله اليوم لا عبدالله شنو السالفة يا اية حسب السوق بسوق,Negative,Positive,levantine,0.9482,False
و الله تا عيب هادشي لي درتو لهاد البنت,Positive,Negative,maghrebi,0.9333,False
الووو اخك عارف الووو هلا امنصاب كنتي حديا نخشيه,Negative,Positive,nile_basin,0.6744,False
تماما كما هناك لامركزية، ولامركزية موسعة، هناك فدرالية، وفدرالية موسعة تقترب من الاتحاد الكونفدرالي. مشروعنا النموذج الثاني، بما في ذلك سحب مسالة السياسة الخارجية من المركز ووضعها علي المستوي الكانتوني. كل جماعة بذلك تحكم نفسها بنفسها كما الاكراد بالعراق حاليا.,Negative,Positive,levantine,0.8507,False
حلو مبين انو وجهها منو عبارة عن تضاريس اصطناعية متل سائر الفنانات,Negative,Positive,levantine,0.6032,False
حلفوا يمين طويل عريض بالحفاظ علي وحدة اليمن وسلامة اراضيه . هذا الواقع وكلنا نعلم لكن هل سيعلم هذا الواقع المسكين اللي تحت حرارة الشمس يتم اخراجه ب4 الف لكي يكسب الغائد غرض سياسي هل سيعرف ان لا حقيقة سوا اليمن الواحد وان ماسواه فهو وهم وهم وهم,Positive,Negative,nile_basin,0.8495,False
هاي بالرصافة عيني الكرخ ماعدهم هيج .,Positive,Negative,levantine,0.8862,False
انا الاحياء دي مجنناني عديل غيرها م عندي مشكله في شي,Negative,Positive,nile_basin,0.8689,False
والله صدق المثل الي قال العز ع النور بهدله,Negative,Positive,levantine,0.6051,False
ايي والله هواي شايف هيج نماذج,Positive,Negative,levantine,0.9293,False
الله يقوي الحكومة علي هالاشكال,Positive,Negative,levantine,0.5939,False
‏‪7:33‬‏ لا احنا ناكلو هكا التوانسا اما راهو مش حر,Positive,Negative,maghrebi,0.6049,False
المراه المصريه زمان كانت زوجه وام صالحه زمن امهاتنا وجداتنا . انما حاليا اصبحت امراه لا تحفظ العرض ولاتصونه وتفضح زوجها وتحكي ادق تفاصيل العلاقه بينهم لصديقاتها وتتعدي عليه بدنيا ولفظيا . والعجيب انهم يقولوا ان القانون في مصر يظلم المراه,Negative,Positive,nile_basin,0.8757,False
لما الحاكم بيكون جاهل هيك بصير فينا وهاد الشي صار لماكل كفاءات الدولة اما بالسجن او القبور او بري البلد,Positive,Negative,levantine,0.8885,False
والجرحي ربهم وحد عمي سولنه حل لان ماكو هيچ تدقيق صار اربع سنوات علي هل حاله اطلقوا الرواتب وظلوا دققوا علي راحتكم ويلي تلگونه مزور او مو اصولي اقاضيه قانونين وارجع شكو شي اخذه واسجنه حتي بعد ما يعيده ويتعدي علي اموال الشهداء والجرحي,Positive,Negative,levantine,0.5739,False
