labels,clean_text,emoji_count,has_emoji
0,اتلاف وريح الزفزاف,0,0
0,كون ربيتي راكي لقيتي هي تكبر في ترميها وتظل تنعت فيهم في بالك علاش غير علي الفتن ماتالي راهي اخنز بلاصه في الجسم وانت عاجبك الحال ودرك اندبي عليها خلي يربيها الحبس,3,1
0,المشكله كثير مو فاهمين دولتنا بس عادي لان مو كل حد عنده ذوق حلو,0,0
0,مش بس قناه فضايح وكمان اخبارهم اثريه,0,0
0,انا مني عارفه كيف هالانسان صار قاضي وهوي كلمتين ع بعض ما بيعرف يحكي بيتلعثم الف مره بالجمله بتاتا وبماما كل الوقت الله بعين ع هيك بلد وهيك زعماء,0,0
0,صرمايه ابن عايبه,0,0
1,انا من الجزاءر وعاش هاد الملك الدكي يفهم لوقت كي غاديا,2,1
1,الله يعطيك العافيه ويعينك ويبعد عنكم كل مكروه انتم بيت خير وسخي الله يحاجي عليكم ويزيدكم من فضله,0,0
1,صابر خويا خدمه فايته نقيه لهيه برافو كونسيبت واعررا الله يسهل عليك,0,0
0,معطين هالعلج اكبر من حجمه,0,0
1,فالازمات كنلقاو غير رجال الشرطه والدرك والوقايه المدنيه والجيش الحمد لله علي ولاد البلاد اما شي برلمانيين الله ياخد فيهم الحق والحمد لله علي الملكيه اللهم لك الحمد ربي اجعل بلدي امنا مستقرا وساءر بلاد المسلمين يارب,0,0
1,كل الاحترام سيدتي,0,0
1,صح لسانك والله راقيه جدا,0,0
1,شكرا لكل احد مدحنا و تكلموا عنا شكرا للكل نحب كل الدول العربيه,0,0
1,ترفع لك القبعات وكل الاحترام و نشكرك لكن ما الفاءده يتحدث باسم الشعب لدوله الرءيس فلا يسمع ولا يري,0,0
0,ع المواقف كلاب وف الواقع تريس,0,0
0,روح بول ورقد,0,0
0,استغفر الله علي هالاجرام شو هالقرف شو هالغريزه الحيوانيه حتي الحيوان مابيعمل هيك طفله لوما اهلها اوسخ مابيصير هالشي انسو الدين وين الاخلاق تفه,0,0
0,تعيشيني بتوتر طول الفيديو خففي عجله,0,0
0,اعلام بغام مايفرق بين الدعم والاستثمار,0,0
1,بعشق روحك الحلوه او تفصيلك الي بتجنن ربي يعطيكي كل الخير الي بهدنيا,1,1
1,اويها من وين ما كنت انت بنت الكل اويها نشالله يحطك في عيونه طول الدهراويها ايامكو سعد وهنا من قلوب الكل ندعيلك,0,0
0,قله تربيه و اخلاق تفوه عليك متحشميش مكش متربيه,0,0
1,لابد من ااتحقيق في الاراضي اامنهوبه في ولايه اريانه رواد فيهم ناس معروفين وحدهم يعملوا ملكيه بعد الاستلاء علي الاراضي ويبيعونها مثلا ارض ااتريكي اامتحيل معروف كان يعمل معاه وخانه مات الاخير وبقيت املاك خياليه لهءلاء,0,0
0,هاي صفه بلطجي,0,0
1,ازاي ازاي الفنانه المحترمه تشغل عندها شامب انزي وده عظه وعبره لان الانسان ابن بلدي هو ابن بلدي برده والله يرحمها ويحسن اليها ويسامحها,0,0
1,عسل يا سلوومه,2,1
1,الله يرحمها و ينعمها و يجعل مثواها الجنه و نعيمها علي قد محبه الناس ليها خلتني نحسها مماتي و ذكرتني بمماتي الي توفات اللهم اتها الفردوس و جنات النعيم و اجعلها في جيره الانبياء و الشهداء و الصالحين,0,0
1,الجيش الاجباري 2 الشعب صار يخاف ع الحكومه مو هوا يخاف منهم 3 ان شاءلله الكهرباء عن قريب ء4ساعه 4 صار فيك تروح ع المسجد بدون ما تلاقي اسمك عند الامن,0,0
0,انتي حيه بتعرفي وغيرانه يختي جيبي انتي كمان وحده تنظف خمتك يا وخمه عقوله سعاد ام عصام,3,1
0,ونتي نطبون مك الملحده غادي تمشي تونسها ان شاء الله قريبا ديرو ثناءي نتي وياها فعكاشه,0,0
1,ربي معاهم نشاله,0,0
0,من اولها حكومه خايفه من دوله ساحل عمان ،الي اي درجه من الضعف وصل بنا الحال من الارتزاق,0,0
1,اول شي لازم يحطو حل للحواجز بالجزيره يلي كل ما مرق شخص يسالوه انت عربي ولا كردي وبعدين سياده الرءيس لازم يطالع مرسوم يعاقب فيه اشد العقوبه لك شخص يحكي بطاءفيه ويحرض ع القتل والفتنه,0,0
0,خبرك قرد انشاء الله شو دخلك انتي وانت شو حارق فرنك روحي نظفي مطبخك يا مكيوده,0,0
1,تخيل كيف يكوون الحال لو ماا كنت سوداني,1,1
1,انتي كفو,0,0
1,ما شاء الله تبارك الله ربي يباركلهم ويتمملهم عالخير ويسعدهم,0,0
0,مين هالمره البشعه,1,1
1,بصراحه خطوه ممتازه، لو يتطبق صح راح يحل مشاكل كثيره,0,0
0,اووف خطيه لعد شوكت ترتاح بضل هاي الحكومه تعبانه لي كلمن حاير بروحه مع الاسف الشديد احنه بلد الخير واعطاء هيج يصير بينه من وره الحكومات الفاسده,0,0
1,مع القياده الهاشميه قلبا وقالبا,1,1
1,الله ييسر اموركم وييسر امور اولادي الا درسوا ماتوظفوا وامور كل الشباب,0,0
1,لواء الحق ورءيس مجلس النواب القادم,1,1
1,النشيد الوحيد الذي يبدا بالقسم قسما ربي يفرج علينا نحبو بلادنا بزاف,1,1
0,مني بربشه اوسخ مذيعه,0,0
1,اللهم سلم,0,0
0,حكومه هي نفسها تايهه ماتعرف اشلون اتصفيها دوله جيس حب,0,0
0,ماعندك شنب لاتتكلم عن اسيادك لان الحرمه احسن من نك,0,0
1,مهما نسافر و مهما يكون عندي جنسيات اخرين تونس تقعد اغلي حاجه و بلادي و نقول تونسي و راسي مرفوع نحبك يا تونس و فخور الي اني تونسي,0,0
0,روح الله يصعب عليك حياتك زي ماصعبتها علي المساكين حسبي الله ونعم الوكيل فيك,0,0
0,دي اصلا مهزقه و تنحه,0,0
1,وتستحق التكريم والعطاء والسند لها ولوالديها ومن وقف معها الدوله لازم تديها تقدير خاص وتتكفل بكل مراحل تعليمها وتدعم والديها ماديا وبسكن لهم مناسب والسيد القاءد البرهان له نظره ثاقبه وخاصه وزير التربيع والتعليم,0,0
1,بارك الله فيك ويا ريت يطلع عنا علماء يخترعوا تطبيقات تعبر عن الحريه ويستطيع الانسان ان يعبر عنها دون ما يتم الحظر,0,0
1,الجنه لمن يطلبها والنار لمن يطلبها فهنيءا للراغبين والطالبين,0,0
0,يا خسارتها بلادنا المزيانه كلاتها الزبله و الوسخ متاع ولادها,4,1
0,هذي من قال لها انج فنانه,0,0
1,قرارات تبرد القلب,0,0
0,فحال هاد القصص كثرو هاد الايام بزااف حاجه وحده نقولها لكاع الناس لي كتقرا هادشي راه ماكاينش منو هاد معتقدات وخزعبلات كيحطوهم فبوسطات باش ناس تقراه ومع الوقت يويلي داكشي جاري بيه العمل اليوم تقراه تصدم غذا يجيك عادي وهادشي لي باغيين الحرام كيسهلووه علي حسب شنو كتستعمل الناس فحياتها اليوميه ومره اخري هادشي راه ماكاينش منو,0,0
0,ولك انت خر اسكت لعنك الله يابن الرقاصه,0,0
1,الله الله يا الكويت دوم ابداع,0,0
1,ربنا يعطيها الصحه والعافيه يارب,0,0
1,الشكل اصيل ،واللهجه يافعيه,3,1
1,ماشاء اللهيبي مازال تصوير من بره لتوضيح موقعه مع المحيط,0,0
1,لله يرحم شهداء لبنان بانفجار بيروت انا من لبنان مافي اجمل من لبنان,0,0
1,كيف كانو زمان يشتغلو بزرعن وبخبزن وبطبخن وبربين وبكبرن ولادهن ويجوزو ولادهن ويربو احفادهن وعايشين احلي عيشه,0,0
0,الزباله بقا ليها قيمه,0,0
0,صبر روحك بوس واسكت يا لمطبع يا ليهود,0,0
0,يصبح اقوي فالرونديلات كيما الملك تاعهم,0,0
1,عسلات ياربي ربي يحفظها ويبعد عنها كل سوء,0,0
0,العين تطرق هيك حكومه كل يوم بعقل,0,0
1,سلم الله الدلنج وكادوقلي سلم الله كردفان ودارفور سلم الله السودان,0,0
0,ويخبطك الادز,0,0
0,تحالف المنافقين يتهم الحكومه بالكذب يا للمسخره,0,0
0,والله صدق المثل الي قال العز ع النور بهدله,0,0
1,من اجمل ما قرات سيدتي,1,1
1,القذافي رجل وطني وترنب رجل وطني والتبع دايمن يفرحون بي شي يهين القذافي,0,0
