text,true_label,pred_label,region,confidence,correct,has_negation
وي متربية و حلوة تهبل راني معاك. برك لوكان نفس الامور كيما الغنا و الشطيح تدريهم بنت بلادكم ما تتقبلوهاش. المشكلة مش في الطفلة المشكلة فيكم تكيلو بمكيالين,Positive,Positive,maghrebi,0.8491,True,True
"بحالك ماعندهم عقل و لي تبعك ما عندو عقل , واش الزبل جاي كايتبورض عليك فبلادك و مني تقول اح و تغوت تولي باغي تدير الفتنة , و هي نخرجو حنايا من هاد الارض و نخليوهالهم باش يعجبك الحال , يمشيو يقودو و سير تا نتا معاهم مشيا بلا رجعا",Negative,Negative,maghrebi,0.9568,True,True
حكومه بدون وطن في منفا لا دوله الي منهو علي الارض,Negative,Negative,nile_basin,0.9483,True,True
جميلة من يوم ما ظهرت وطلت علينا ان شاء الله ربنا يشفيها ويعافيها وترجع لينا بالسلامة عشان احنا بنحبها اوي اوي اوي,Positive,Positive,nile_basin,0.9803,True,True
صباح الجزائري ملكة الدرامة السورية والعربي متل هيك ممثلين نوادر ما بقا في منون تحية للمثلة صباح ولام عصام,Positive,Positive,levantine,0.967,True,True
مجتمع عامل رجل وامراة والكل يتساعد مع فواتير الماي والكهربا السفاحة وين الغلط نتساعد ونصرف علي حالنا اما اللي تقلك ما بصرف ومالي دخل ويدبر حاله فالله يكون بعونك وقتها,Positive,Positive,levantine,0.7894,True,True
هاذ لا نقيب ولا بطيخ يسولف ويعمل جو بس قلك النقابة مسكرة من عشرين سنة طيب من وين يجيب هالسوالف,Negative,Negative,levantine,0.9145,True,True
زوينين ما شاء الله ❤,Positive,Positive,maghrebi,0.9722,True,True
لان جمل الجن الكبيرة ما تقدر تطلع من غير فلتر والا البنت ما تحتاج,Negative,Negative,levantine,0.877,True,True
الله يبارك . ملهاد الخيول بالسروج الليبية والمجرودة والشعر الشعبي و الباصور والمرسكاوي والمتحف المفتوح والنصب التذكاري لشهداء فزان ليبيا❤ فتات وشاهي عالة بالرغوة السمحة . هذه هي ليبيا عراقة واصالة لا مثيل لها,Positive,Positive,maghrebi,0.9405,True,True
