labels,clean_text_stemmed,emoji_count,has_emoji
0,تلف ورح زفزاف,0,0
0,كون ربت ركي لقت كبر ترم تظل تنع بلك علش علي فتن اتل رهي خنز بلص جسم ونت عجب حال ودر دبي خلي يرب حبس,3,1
0,شكل كثر مو فهم دول عدي لان مو حد عند ذوق حلو,0,0
0,مش قنه ضيح وكم خبر اثر,0,0
0,انا مني عرف هالانس قضي وهي كلم عرف يحك عثم الف مره جمل بتت وبم وقت الل بعن بلد وهك زعماء,0,0
0,صرم ابن عيب,0,0
1,انا جزءر وعش ملك دكي فهم لوق غاد,2,1
1,الل يعط عفي ويع بعد عنكم كره نتم بيت خير وسخ الل يحج علي يزد فضل,0,0
1,صبر خوا خدم فيت نقه لهه رفو كونسيب عرر الل سهل,0,0
0,معط هالعلج كبر حجم,0,0
1,لزم كنلقاو رجل شرط درك وقي دنه جيش حمد لله علي ولد بلد اما رلم الل يخد لحق حمد لله علي لكه لهم حمد ربي جعل بلد امن قرا سءر بلد سلم يرب,0,0
1,حرم سيد,0,0
1,صح لسن ولل رقي جدا,0,0
1,شكر لكل احد مدح كلم عنا شكر لكل نحب دول عرب,0,0
1,رفع قبع وكل حرم شكر فءد حدث بسم شعب لدل رءس سمع يري,0,0
0,وقف كلب وف وقع ترس,0,0
0,روح بول رقد,0,0
0,غفر الل علي هالاجرام شو هالقرف شو هالغريزه حيو حتي حيو مابيعمل طفل اهل وسخ مابيصير هلش نسو دين وين خلق تفه,0,0
0,تعش وتر طول يدو خفف عجل,0,0
0,علم بغم مايفرق دعم ثمر,0,0
1,عشق روح حله او فصل بتج ربي يعط خير بهد,1,1
1,اوي وين كنت انت بنت لكل اوي شلل يحط عين طول دهراو مكو سعد وهن قلب لكل دعل,0,0
0,قله ربه خلق تفه متحشميش مكش ترب,0,0
1,لبد حقق رضي اامنهوبه ولي رين رود ناس عرف وحد عمل لكه لاء علي رضي يعو ثلا ارض اري تحل عرف عمل عاه وخن مات اخر وبق ملك خيل هءلاء,0,0
