clean_text,labels,dialect_id
صاي هبلتي,0,0
تحالف المنافقين يتهم الحكومة بالكذب يا للمسخرة,0,10
جهنم واش راهي تسنا,0,0
بنات المسلمين اجمعين اشرف من الشرف و مو بس بنات سوريا,1,11
من تزدانها واضحة من سوسة,1,6
شوفو يا جزائريين البنات واش راهم يخدمو الله يسترنا يالطيف اصبح الزواج من جزائرية صعيب و مشكوك فيهن,0,0
حسبي الله ونعم الوكيل \اسال الله ان ينشر الامن و الاستقرار في السودان العظيم حريه. سلام. عداله✌️✌️✌️,1,10
شحاتة,0,4
روعه روعه روعه ماشاء الله تبارك الله,1,13
بخصوص قدمنا شكوي ازعاج الشاحنات والتريلات داخل حي سكني ، الخريطيات ولازال الازعاج مستمر 24 ساعه دون توقف,1,2
صح لسانك والي الامام وعيش يومك ياخي ياخي ياخييي مدري ياخي مدري مدري احس بتشقلب من الفخر,1,9
احنا من الاردن لانعترف في للمفعنه زين كرزون عباره عن صرمايه نعتبرها ولقت نصيبها ديوث يمشي بالارض من كثر الرخاصه,0,4
ما ذكرت انه دمرنا وباع فلسطين ببوسه,0,8
لي يخش مغاوير الحنشه بيصبعوه متلا ! ت هادا مش راجل تو يطيح في وحده القطران انضف منها بش يلحسلها فراعيها,0,6
قرار حكيم,1,13
متنجس من الشعب الوصخ يسلم من بعيد ههه,0,2
نقترح علي الحكومة دير حقيبة وزارية جديدة ويديرو وزير الموز .تبا لكم,0,0
شنهاي يكبله خوش شايله طيز,0,6
الف رحمه ونور علي روحه حرر نفط العراق طرد شركات الاحتكار فغضب الانكليز ودبروا المومرات لقتله وجاءوا بخدامهم من البعثين والقومين لا نهم خاضعين لهم وقتلوا من احب العراقين بكل طوائفهم وهذا ديددن المحتل يقتل الاوفياء الشرفاء,1,3
هاذي فاجرة لازم تنفوها ماتزيدش دور هنا فالجزائر هاذي فري فاجرة او ماعندهاش اصل جميع وحدا ولا واحد راه ايبرطاجي في هاذي فاجرة الله ايذلو او ايذلها,0,0
مرحبا انا تونسيه والاكل هناك جيد جدا لانه هناك كسكس ومخلخيه وزلابيه وكثير من الاشياء الجيده هناك لكن يسرقون كثيرا بالاخص في وسط تونس وانا لست من تونس وانا دائما اتابعك,1,12
نصيحتي الك ديما حبيبتي تحجبي وتستري ولاتغني حبيبتي ارجعي لربك واساليه يرضي عنك ربي يرزقك اجر المجاهدين المرابطين والله الدنيا مابتغني عن الاخرة حبيبتي ربي يحميكم يارب,1,8
بالحضن والبوس دول ناس طيبين اوي,1,1
من المسؤول؟ اين كانت الدولة والزعماء السياسيين والدينيين؟ كيف حصلة هذه الفجوة وهل يعقل ان يسرق تعب المواطنين والمغتربين والاجانب علي عينك يا تاجر؟ الثقة في المصارف اللبنانية وفي الدولة قد ماتت وعفنت الخ ولن تعود الخ ومازالت الدولة نايمة الخ. عيب وعيب وعيب! كلام قاس يبكي اللبنانيين فقط ما اقبحه,0,5
يا رب تنحرمي من الامومة والزواج علشان بعد كم سنه نعرف شو رح ينفعك الميك اب,0,4
"اول اسم ""الرتينة"" لقب الوالدة الله يحفظها، يحكن نساء الحي انها كانت اجمل امراة في القرية حتي لقبت بالرتينة لجمالها وبياضها تشبها بالفانوس القديم الذي كان مشهورا في ذلك الوقت",1,10
احسان بنعلوش من البنات لي قدوة ليا فهاد لبلاد هي واختها ونسرين احسن مؤثرات مغربيات علي مواقع التواصل الاجتماعي ❤️❤️,1,7
حسبي الله عليكي,0,13
الكذب علئ الدقون عيب يحترم عقول الناس بكلام موازن ليش. الحقد والغل والكراهيه البغضاء بهذا المنحط المرتزق الهارب خارج الوطن بعدما تم تدمير البلاد من اسياده,0,13
امراة بالف رجل الله يبارك فيك وفي عائلتك,1,8
عيش المليك الله انصرو الصحراء مغربية,1,7
شني هاي صدرها شكبره,0,3
صدام حسين المجيد العرقي مرحبا مليون دولار. الله يرحمه ويجعل مثواه الجنه يارب,1,3
چدعه,1,8
انت فك ديرتك بالاول من هجوم الروس لا حق علي التحرش بالدول الثانيه,0,2
فاهيه كلششش,0,3
يونس اول الحاضرين ان شاءالله,1,9
لعنة الله علي من حاول اذلالها عيب والف عيب في اليمنيين ان هاذا الاذلال يقع منهم لابد من ارجاع حقوقها وتكريمها فنها بنت اسد العروبه رحمة الله عليك ياصدام حسين,1,3
تستاهل الكويت ي جعل ايامهم كلها فرح,1,2
الموسطاش عاش راجل ومات راجل المجد والخلود لشهدئنا الابرار,0,0
العسكر افقروا الشعبالناس بتموت بعضها عشان الفلوس,0,1
كان تسوق معاك صاحبك السخوي انتو الانتين محتاجين لتاهيل نفسي,0,10
الشحات بتاعنا خرج ولا اي,0,1
السبة كويت لانهم حرموا عيالهم من الجناسي,0,2
لا اقل بنت بسوريا ما بتشرفني ولا بتشرف صباطي,0,11
عيدك يا كويت جميل بامن وامان ولمت احبابك,1,2
بس لا تنسوا تسليم السلاح الثقيل والمتوسط للدوله,1,11
وسنبقي علي العهد حتي اخر قطرة دم وكما قلت انت سيدي الرئيس لو كان تبقي غير جزائرية عميا ماترانديش وماتتخلاش علي الوطن لان الوطن غالي ربي يرحمك ويجعلك من اخل الجنة,1,0
والله هدا الرجل من اهل الجنة ان شاء الله رجل من الطراز القليل وقر وايمان وثبات اه ياهل غزة العزة علمتونا دروس كثيرة في الصبر وحب الوطن والوفاء للاقصي,1,8
صحافي حناشي اكبر نصاب ومحتال وع,0,0
اي والله صدقت اني ماحبيت لهجتي البدوية العراقية بالاخص الا من صدام من افواه الرجال نتطق,1,3
ابوظبي الهندوسية المتصهينه تخبط غير مسبوق,0,2
ربي اكمللكم يبنت بلادي. تحيا حراير الجزائر,1,0
الملكه وووااووتبارااك الله,1,6
ابن الكلب فيش ابن مراة من الي واقفين يبزق بوجهه,0,8
بكفي هراء ارجوكم، المراة الخطيرة والحكي التافه والمصلحطات الغربية، بكفي تلعبوا بعقل البنات وتزرعوا فيهن هاي التفاهة الرخصية، روحوا شوفوا كيف المراة في الغرب عايشة يا خطيرين، وبتعرفوا انه البنت في الاردن عايشة حياة مرفهة وعايشة حياة 5 نجوم، المراة في الغرب اوروبا اذا ما اشتغلت لوجه الفجر وطلعت مصروفها بتموت من الجوع حتي لو كانت طالبةجامعة بعمر العشرين ، ارجوكم استوعبوا,0,4
بلاد قتلت فيها النساء شن مازال نستنو منها لا حول ولا قوة الا بالله,0,6
ما احلي لون عيونك,1,8
روح ااكل كم كيلو لحم حمير عندكم في مصر واسكت عشان هذي البطن تكبر شوي,0,1
انا نحب بنات بلادي وتكون تصلي وناس طيبة اغلي امراة جزائرية,1,0
خيتي المبدعة ❤️❤️❤️❤️❤️,1,7
اشتري تفريعة و العن الشيعة زراع زريعة و العن الشيعة قلوب البيعة و العن الشيعة قشاع مع القشيعة و العن حاخام الشيعة,0,5
هذا سفير اسرائيل بالضفة الغربية !,0,8
احسنت صدقت كفو عليك علاء,1,9
و يا واطي ويا حقير ومجرم حرب، بس هو ولا يهمه هذا الكلام لانه مغرور ويحتقر بقية الشعب اللبناني,0,5
تم دعسكم اقتصاديا ، تم دعسكم سياسيا تم دعسكم اجتماعيا ، تم دعكسم اعلاميا,0,9
شايف حاله علي الزباله,0,5
الله عليك يا واوية . عووو,0,5
ههه ضحكتيني فعلا الجهل اكبر عدو للانسان,0,8
يعني بعتقد بعد هل كلام انا عايشين بمسرحية والنواب الي برضوا ينسب علي شرفهم بعتقد لايستحق انو يمثل مواطن,1,4
ربي يهنيهم ويسعدهم,1,10
ريح السد يهز مايرد باش يفكولنا بلادنا الهموم,0,12
كلامك من ذهب سيادة اللواء . لا احب ان اناديك بسعادة النائب لانه صارت شتيمة,1,5
الله لا يسامحه الي جاب الكوتا علي المجلس.,1,4
بلاد المسيح سلاما لهوية المسيح الناصررري الجليلي الموعد من صفورية المباركة بانبيائها . عم و انتشر و ملا الكون بسلام المحبة حاملا اسم بلده,1,8
انا ابربرك يا مملوك عيال الاعور بني سعود ، مملوك حقير لا راي ولا شور ، عبارة عن مملوك من املاك عيال سعود النجس . القذارة والانحلال الاخلاقي الذي ورثته عن اباك و نشاة عليه لن يزيدك الا نذاله واحتقار تعلم تكون متربي افضل لك,0,12
تره الغيمه الثجيله هوه حمار و روح ابحثوا و تاكدوا,0,3
من اعظم الرجال الذي مروا في القرن العشرين انه شرف للمسلمين والعرب والله اني اراه اسد في وقت كثرت في الظباع الغادرة❤❤❤,1,8
ما كاين حتي شي تخوفات بالعكس الذكاء الاصطناعي التنمية,1,7
المسجد بناء في الحكم التركي ومكتوبالتاريخ عند الباب والاسم الان جامع هدية,1,6
صح لسانك ارفع قباعة الاحترام والتقدير لشخصك الكريم علي نقي واختيار كلماتك الجميلة الراقية وكل سنة والمراة اللبنانية بخير وصحة وسعاد,1,5
‏‪7:33‬‏ لا احنا ناكلو هكا التوانسا اما راهو مش حر,1,12
ياكثر هرجك لو ساده فمك احسن,0,9
ماظل غير حفنة خونة ربع الشخيخ الاجري شواربهم متل شوارب لكلاب,0,11
شكد انسان راقي ومحبوب و هادي وتحس بالمتعه وانت تسمع صوته وحواره كل التوفيق الك انس بوخش متابعيك من العراق,1,3
حفظك الله امي وطيب الثري تحت اقدامك وقر عينك بتحرير فلسطين بارك الله فيك,1,8
الحمد لله ، بلادنا في تطور ملحوظ في جل المجالات و هذا بفضل الله سبحانه و مجهودات ملكنا الغالي ❤️❤️ الله يحفظ لينا ملكنا و يحميه و يعطيه ربي صحيحتو و ارفع عليه المر,1,7
وليتو كي العاهراتت اصاحبي,0,7
احسن قرار الله يحفظ مليكنا الغالي ❤️❤️، والمملكة المغربية,1,7
انا من لبنان واموت في بلاد فلسطين وتحيا فلسطين وتحيا لبنان الله ينصر الفلسطينيين,1,5
دائما خضراء بعون الله,1,13
يسلملي قلبو حرر ووحد سوريا وانشالله لح تتحسن الاوضاع الاقتصاديه كل سنه احسن من يلي قبلها.,1,11
عل اساس انت بانية من فلوسك يلجرب ياوسخ مصر سوف تاخذ حصتها غصبن عنك وعن اليهود الي داعمينكم,0,1
الله يحرق لجد بوهم لعظم اذا طاح شي نيزك من سما غادين يسميوها فالمخزن وانعدام البنيات التحتية والارنبات وداكشي,0,7
الله ينصرهم وينصرهم وينصرهم، احنا مع ملكنا وبلادنا نموتو عليها,1,7
هزا المخترح ممتاذ كفيتي ووفيتي دكتوره البلد محتاجه تفكير خارج الصدوق لاتفكير رغبوي كلام في قمه الالق,1,10
اللي يدخلو كل يوم للاراضي ااتونسية الاف مؤلفة,0,12
تبارك الله ❤️ ربي يحفظكم و يفضلكم لبعضكم انا يعجبني المحتوي الي تقدمي فيه ❤️ اما اكثر حاجه تعجبني انك بنيه متربيه و محترمه و تلقائية❤️ ردي بالك تغرك الشهره,1,12
قيس قلب الاسد رئيسنا الي الابد❤❤,1,12
نسوية ايش والله يضحكوني النساء العربيات مصدقين انفسهم ان عندهم نسويه وحزب ومناضلة النسوية هي اكثر من يستحقر المراة العربية تشوفها متخلفه وارهابية المراة العربية بسبب الانترنت وانفتاح العالم علي بعض بس نقلت النسوية الغربية هنا تقليد النساء الغربيات عذبوا العربيات في السجون,0,9
ولله القنون خطيه اما وقيلة في عوذ يذنو في اذان صغارهم ندرا فاش يقلولهم شوية مالحنة وشوية من رطابة لدين كلو من اخلاق الوالدين من شب علي شئ شاب عليه,0,12
لازم يتحول علي مكافحه الفساد ولو ان مكافحه الفساد بدها مكافحه فساد عليها,0,4
يعني ياريت احمد تكثر هيج ضيوف شوفتهم تفتح النفس ولقاءهم خفيف وتستفاد منه ، انس من احب المقدمين علي گلبي سعيدة بشوفتكم سوة من جديد ، كلش حبيت الحلقة من بعد غياب هل موسم كامل عن البشير ، خطوة تجنن,1,3
اقول بس وش بتطبخين عشا اليوم ظهرت احقادهم لما تولت مكاسبهم فعلا .,0,10
يارجال علي زق ازعجت ام امنا يا افدغ مانبحت الا الحين,0,5
نعم للسلام,1,13
ضربني وبكي سبقني واشتكي والي بدق الباب راح يسمع الجواب تحية لابطال الحرس الوطني لا تقصروا فيهم الله يحمييكم,1,11
معدومة الاحساس و الانسانية عم تحكي عن حقوق المراة تفضلي احكي عن اماني الام الجريحة يلي فقدت عيلتها قدام عيونها بمجزرة بس مش فاضية عم تكزدري علي حساب الدولة شو فرقانة معك. حديثة النعمة ما بينعتب عليك,0,5
اي والله جابها صح,1,13
انس انسان لطيف لكن للامانة ابد مجاوب بعفوية اكو هواية اسئلة الغاية منها طرفة ، فجان حلو يكون الجواب بسيط و عفوي بعيدا عن الفلسفة و السرد و المثاليات,1,3
قرار ممتاز صراحة . ماعاد قدرنا نمشي بالشام القديمة الف سيارة ورا بعض والحارات يادوب واسعتنا,1,11
الله يحميكون ويوفقكون يارب والله يختير الخير للجميع البلد,1,11
